Date,Number  of  Flights
2017-08-12  12:16:36,699
2017-08-12  12:21:36,695
2017-08-12  12:26:36,699
2017-08-12  12:31:36,702
2017-08-12  12:36:36,700
2017-08-12  12:41:36,700
2017-08-12  12:46:36,703
2017-08-12  12:51:36,703
2017-08-12  12:56:36,708
2017-08-12  13:01:36,710
2017-08-12  13:06:36,710
2017-08-12  13:11:37,715
2017-08-12  13:16:37,717
2017-08-12  13:21:37,719
2017-08-12  13:26:37,719
2017-08-12  13:31:37,719
2017-08-12  13:36:37,720
2017-08-12  13:41:37,724
2017-08-12  13:46:37,728
2017-08-12  13:51:37,725
2017-08-12  13:56:37,730
2017-08-12  14:01:37,732
2017-08-12  14:06:37,736
2017-08-12  14:11:37,736
2017-08-12  14:16:37,736
2017-08-12  14:21:37,737
2017-08-12  14:26:37,738
2017-08-12  14:31:37,740
2017-08-12  14:36:37,739
2017-08-12  14:41:38,746
2017-08-12  14:46:38,748
2017-08-12  14:51:38,751
2017-08-12  14:56:38,752
2017-08-12  15:01:38,752
2017-08-12  15:06:38,754
2017-08-12  15:11:38,752
2017-08-12  15:16:38,758
2017-08-12  15:21:38,763
2017-08-12  15:26:38,768
2017-08-12  15:31:38,773
2017-08-12  15:36:38,775
2017-08-12  15:41:38,780
2017-08-12  15:46:38,778
2017-08-12  15:51:38,778
2017-08-12  15:56:38,778
2017-08-12  16:01:38,781
2017-08-12  16:06:39,786
2017-08-12  16:11:39,790
2017-08-12  16:16:39,792
2017-08-12  16:21:39,793
2017-08-12  16:26:39,798
2017-08-12  16:31:39,798
2017-08-12  16:36:39,797
2017-08-12  16:41:39,797
2017-08-12  16:46:39,802
2017-08-12  16:51:39,803
2017-08-12  16:56:39,808
2017-08-12  17:01:39,813
2017-08-12  17:06:39,814
2017-08-12  17:11:39,816
2017-08-12  17:16:39,816
2017-08-12  17:21:39,815
2017-08-12  17:26:39,818
2017-08-12  17:31:40,819
2017-08-12  17:36:40,822
2017-08-12  17:41:40,828
2017-08-12  17:46:40,836
2017-08-12  17:51:40,834
2017-08-12  17:56:40,836
2017-08-12  18:01:40,836
2017-08-12  18:06:40,837
2017-08-12  18:11:40,839
2017-08-12  18:16:40,843
2017-08-12  18:21:40,845
2017-08-12  18:26:40,849
2017-08-12  18:31:40,853
2017-08-12  18:36:40,854
2017-08-12  18:41:40,856
