Timestamp,UPDATE_CCDSR_ACCEPTATION_MESSAGE,UPDATE_CCDSR_REJECTION_MESSAGE,FP_UPDATE_SUBSCRIPTION_CLIENT_MESSAGES_EVENT,FP_END_OF_UPDATE_MESSAGES_EVENT
2017-08-12  05:27:26.348,15,0,14,1
2017-08-12  05:32:26.352,13,2,11,4
2017-08-12  05:37:26.351,11,1,10,2
2017-08-12  05:42:26.355,27,3,22,8
2017-08-12  05:47:26.354,13,1,10,4
2017-08-12  05:52:26.355,23,3,23,3
2017-08-12  05:57:26.357,11,0,11,0
2017-08-12  06:02:26.358,22,5,18,9
2017-08-12  06:07:26.362,10,1,6,5
2017-08-12  06:12:26.363,10,0,10,0
2017-08-12  06:17:26.363,16,1,14,3
2017-08-12  06:22:26.367,7,1,7,1
2017-08-12  06:27:26.366,24,1,18,7
2017-08-12  06:32:26.368,20,1,17,4
2017-08-12  06:37:26.371,19,2,17,4
2017-08-12  06:42:26.373,15,0,15,0
2017-08-12  06:47:26.372,16,0,13,3
2017-08-12  06:52:26.373,15,3,12,6
2017-08-12  06:57:26.374,12,0,10,2
2017-08-12  07:02:26.376,17,1,13,5
2017-08-12  07:07:26.380,10,2,8,4
2017-08-12  07:12:26.379,17,1,15,3
2017-08-12  07:17:26.380,22,0,19,3
2017-08-12  07:22:26.384,18,1,15,4
2017-08-12  07:27:26.385,17,1,16,2
2017-08-12  07:32:26.385,17,1,14,4
2017-08-12  07:37:26.386,19,1,14,6
2017-08-12  07:42:26.390,7,0,5,2
2017-08-12  07:47:26.391,14,0,13,1
2017-08-12  07:52:26.390,14,1,11,4
2017-08-12  07:57:26.391,15,3,15,3
2017-08-12  08:02:26.395,23,2,19,6
2017-08-12  08:07:26.394,16,1,13,4
2017-08-12  08:12:26.396,20,1,18,3
2017-08-12  08:17:26.400,19,0,16,3
2017-08-12  08:22:26.398,12,0,10,2
2017-08-12  08:27:26.400,14,1,11,4
2017-08-12  08:32:26.403,11,1,10,2
2017-08-12  08:37:26.405,12,3,12,3
2017-08-12  08:42:26.407,13,1,12,2
2017-08-12  08:47:26.406,13,1,9,5
2017-08-12  08:52:26.407,26,1,24,3
2017-08-12  08:57:26.409,14,1,12,3
2017-08-12  09:02:26.413,23,1,18,6
2017-08-12  09:07:26.412,12,0,10,2
2017-08-12  09:12:26.412,13,1,10,4
2017-08-12  09:17:26.414,13,0,11,2
2017-08-12  09:22:26.418,10,1,10,1
2017-08-12  09:27:26.417,14,1,12,3
2017-08-12  09:32:26.419,16,2,15,3
2017-08-12  09:37:26.420,19,1,16,4
2017-08-12  09:42:26.422,20,0,18,2
2017-08-12  09:47:26.423,21,1,16,6
2017-08-12  09:52:26.424,16,0,13,3
2017-08-12  09:57:26.428,12,1,11,2
2017-08-12  10:02:26.427,15,1,13,3
2017-08-12  10:07:26.429,11,1,9,3
2017-08-12  10:12:26.431,14,0,12,2
2017-08-12  10:17:26.434,17,2,13,6
2017-08-12  10:22:26.436,14,0,13,1
2017-08-12  10:27:26.435,23,1,19,5
2017-08-12  10:32:26.439,17,2,15,4
2017-08-12  10:37:26.438,21,0,17,4
2017-08-12  10:42:26.440,14,1,11,4
2017-08-12  10:47:26.441,15,0,12,3
2017-08-12  10:52:26.443,9,0,8,1
2017-08-12  10:57:26.447,9,1,9,1
2017-08-12  11:02:26.446,18,1,16,3
2017-08-12  11:07:26.447,17,2,13,6
2017-08-12  11:12:26.449,22,1,19,4
2017-08-12  11:17:26.451,18,1,15,4
2017-08-12  11:22:26.452,21,0,17,4
2017-08-12  11:27:26.453,13,0,11,2
2017-08-12  11:32:26.457,12,2,12,2
2017-08-12  11:37:26.456,14,0,11,3
2017-08-12  11:42:26.461,12,1,8,5
2017-08-12  11:47:26.459,17,0,16,1
2017-08-12  11:52:26.463,13,2,12,3
2017-08-12  11:57:26.462,18,1,14,5
2017-08-12  12:02:26.463,23,3,22,4
2017-08-12  12:07:26.467,20,1,14,7
2017-08-12  12:12:26.466,14,0,13,1
2017-08-12  12:17:26.468,13,1,12,2
2017-08-12  12:22:26.472,12,0,10,2
2017-08-12  12:27:26.471,11,1,9,3
2017-08-12  12:32:26.473,17,1,15,3
2017-08-12  12:37:26.477,15,2,13,4
2017-08-12  12:42:26.478,16,0,14,2
2017-08-12  12:47:26.477,20,1,18,3
2017-08-12  12:52:26.479,23,1,19,5
2017-08-12  12:57:26.480,14,0,11,3
2017-08-12  13:02:26.482,12,2,10,4
2017-08-12  13:07:26.486,14,0,14,0
2017-08-12  13:12:26.484,12,1,9,4
2017-08-12  13:17:26.486,18,4,17,5
2017-08-12  13:22:26.487,17,0,16,1
2017-08-12  13:27:26.489,19,2,17,4
2017-08-12  13:32:26.491,16,2,12,6
2017-08-12  13:37:26.494,22,1,17,6
2017-08-12  13:42:26.494,11,0,8,3
