Timestamp,SNS  Alerts
2017-08-11  18:36:31,0
2017-08-11  18:37:31,0
2017-08-11  18:38:32,0
2017-08-11  18:39:32,0
2017-08-11  18:40:32,0
2017-08-11  18:41:32,0
2017-08-11  18:42:33,0
2017-08-11  18:43:33,0
2017-08-11  18:44:33,0
2017-08-11  18:45:34,0
2017-08-11  18:46:34,0
2017-08-11  18:47:34,0
2017-08-11  18:48:35,0
2017-08-11  18:49:35,0
2017-08-11  18:50:35,0
2017-08-11  18:51:35,0
2017-08-11  18:52:36,0
2017-08-11  18:53:36,0
2017-08-11  18:54:36,0
2017-08-11  18:55:37,0
2017-08-11  18:56:37,0
2017-08-11  18:57:37,0
2017-08-11  18:58:37,0
2017-08-11  18:59:38,0
2017-08-11  19:00:38,0
2017-08-11  19:01:38,0
2017-08-11  19:02:39,0
2017-08-11  19:03:39,0
2017-08-11  19:04:39,0
2017-08-11  19:05:40,0
2017-08-11  19:06:40,0
2017-08-11  19:07:40,0
2017-08-11  19:08:40,0
2017-08-11  19:09:41,0
2017-08-11  19:10:41,0
2017-08-11  19:11:41,0
2017-08-11  19:12:42,0
2017-08-11  19:13:42,0
2017-08-11  19:14:42,0
2017-08-11  19:15:42,0
2017-08-11  19:16:43,0
2017-08-11  19:17:43,0
2017-08-11  19:18:43,0
2017-08-11  19:19:43,0
2017-08-11  19:20:44,1
2017-08-11  19:21:44,0
2017-08-11  19:22:44,0
2017-08-11  19:23:45,0
2017-08-11  19:24:45,1
2017-08-11  19:25:45,1
2017-08-11  19:26:45,0
2017-08-11  19:27:46,0
2017-08-11  19:28:46,0
2017-08-11  19:29:46,0
2017-08-11  19:30:46,1
2017-08-11  19:31:47,1
2017-08-11  19:32:47,0
2017-08-11  19:33:47,1
2017-08-11  19:34:48,0
2017-08-11  19:35:48,0
2017-08-11  19:36:48,0
2017-08-11  19:37:48,0
2017-08-11  19:38:49,0
2017-08-11  19:39:49,1
2017-08-11  19:40:49,1
2017-08-11  19:41:50,0
2017-08-11  19:42:50,0
2017-08-11  19:43:50,4
2017-08-11  19:44:50,3
2017-08-11  19:45:51,2
2017-08-11  19:46:51,1
2017-08-11  19:47:51,4
2017-08-11  19:48:51,1
2017-08-11  19:49:52,1
2017-08-11  19:50:52,2
2017-08-11  19:51:52,0
2017-08-11  19:52:53,1
2017-08-11  19:53:53,1
2017-08-11  19:54:53,0
2017-08-11  19:55:53,3
2017-08-11  19:56:54,1
2017-08-11  19:57:54,0
2017-08-11  19:58:54,0
2017-08-11  19:59:55,0
2017-08-11  20:00:55,0
2017-08-11  20:01:55,1
2017-08-11  20:02:55,2
2017-08-11  20:03:56,3
2017-08-11  20:04:56,1
2017-08-11  20:05:56,1
2017-08-11  20:06:56,2
2017-08-11  20:07:57,0
2017-08-11  20:08:57,1
2017-08-11  20:09:57,2
2017-08-11  20:10:58,0
2017-08-11  20:11:58,0
2017-08-11  20:12:58,0
2017-08-11  20:13:58,0
2017-08-11  20:14:59,0
2017-08-11  20:15:59,0
2017-08-11  20:16:59,1
2017-08-11  20:17:59,1
2017-08-11  20:19:00,1
2017-08-11  20:20:00,1
2017-08-11  20:21:00,2
2017-08-11  20:22:01,0
2017-08-11  20:23:01,0
2017-08-11  20:24:01,1
2017-08-11  20:25:01,1
2017-08-11  20:26:02,0
2017-08-11  20:27:02,0
2017-08-11  20:28:02,3
2017-08-11  20:29:02,3
2017-08-11  20:30:03,2
2017-08-11  20:31:03,2
2017-08-11  20:32:03,2
2017-08-11  20:33:04,4
2017-08-11  20:34:04,1
2017-08-11  20:35:04,2
2017-08-11  20:36:04,2
2017-08-11  20:37:05,2
2017-08-11  20:38:05,3
2017-08-11  20:39:05,2
2017-08-11  20:40:06,0
2017-08-11  20:41:06,1
2017-08-11  20:42:06,1
2017-08-11  20:43:06,0
2017-08-11  20:44:07,1
2017-08-11  20:45:07,0
2017-08-11  20:46:07,0
2017-08-11  20:47:08,1
2017-08-11  20:48:08,0
2017-08-11  20:49:08,0
2017-08-11  20:50:09,1
2017-08-11  20:51:09,3
2017-08-11  20:52:09,0
2017-08-11  20:53:09,0
2017-08-11  20:54:10,3
2017-08-11  20:55:10,0
2017-08-11  20:56:10,1
2017-08-11  20:57:10,2
2017-08-11  20:58:11,1
2017-08-11  20:59:11,0
2017-08-11  21:00:11,0
2017-08-11  21:01:12,1
2017-08-11  21:02:12,0
2017-08-11  21:03:12,1
2017-08-11  21:04:12,0
2017-08-11  21:05:13,1
2017-08-11  21:06:13,0
2017-08-11  21:07:13,0
2017-08-11  21:08:14,1
2017-08-11  21:09:14,1
2017-08-11  21:10:14,0
2017-08-11  21:11:15,1
2017-08-11  21:12:15,1
2017-08-11  21:13:15,0
2017-08-11  21:14:16,4
2017-08-11  21:15:16,3
2017-08-11  21:16:16,2
2017-08-11  21:17:17,3
2017-08-11  21:18:17,0
2017-08-11  21:19:17,3
2017-08-11  21:20:17,1
2017-08-11  21:21:18,2
2017-08-11  21:22:18,2
2017-08-11  21:23:18,1
2017-08-11  21:24:19,0
2017-08-11  21:25:19,0
2017-08-11  21:26:19,1
2017-08-11  21:27:19,0
2017-08-11  21:28:20,0
2017-08-11  21:29:20,0
2017-08-11  21:30:20,0
2017-08-11  21:31:20,1
2017-08-11  21:32:21,0
2017-08-11  21:33:21,1
2017-08-11  21:34:21,2
2017-08-11  21:35:22,1
2017-08-11  21:36:22,2
2017-08-11  21:37:22,1
